ID,genero,edad,provincia,bloque,votacion_final1,region
175,Varón,37,buenos aires,FDT,positivo,Buenos Aires
176,Varón,28,san juan,FDT,positivo,Cuyo
177,Varón,53,buenos aires,FDT,positivo,Buenos Aires
178,Varón,37,ciudad autonoma de buenos aires,FDT,positivo,CABA
179,Varón,80,ciudad autonoma de buenos aires,FDT,positivo,CABA
180,Mujer,66,chubut,FDT,positivo,Patagonia
181,Varón,63,ciudad autonoma de buenos aires,JxC y aliados,positivo,CABA
182,Varón,43,chubut,FDT,positivo,Patagonia
183,Mujer,38,buenos aires,JxC y aliados,positivo,Buenos Aires
184,Varón,43,buenos aires,FDT,positivo,Buenos Aires
185,Varón,55,buenos aires,FDT,positivo,Buenos Aires
186,Varón,56,entre rios,resto y provinciales,positivo,Centro
187,Mujer,38,buenos aires,FDT,positivo,Buenos Aires
188,Mujer,68,rio negro,FDT,positivo,Patagonia
189,Mujer,34,mendoza,resto y provinciales,positivo,Cuyo
190,Varón,56,tucuman,FDT,positivo,NOA
191,Mujer,54,entre rios,resto y provinciales,positivo,Centro
192,Varón,51,catamarca,FDT,positivo,NOA
193,Mujer,41,buenos aires,FDT,positivo,Buenos Aires
194,Varón,37,ciudad autonoma de buenos aires,JxC y aliados,positivo,CABA
195,Mujer,43,buenos aires,JxC y aliados,positivo,Buenos Aires
196,Mujer,48,buenos aires,FDT,positivo,Buenos Aires
197,Varón,33,santa fe,resto y provinciales,positivo,Centro
198,Varón,45,santa fe,FDT,positivo,Centro
199,Mujer,42,ciudad autonoma de buenos aires,resto y provinciales,positivo,CABA
200,Mujer,65,buenos aires,FDT,positivo,Buenos Aires
201,Varón,45,ciudad autonoma de buenos aires,FDT,positivo,CABA
202,Mujer,36,chaco,FDT,positivo,NEA
203,Mujer,41,rio negro,resto y provinciales,positivo,Patagonia
204,Mujer,28,buenos aires,resto y provinciales,positivo,Buenos Aires
205,Varón,55,chubut,resto y provinciales,positivo,Patagonia
206,Mujer,45,jujuy,FDT,positivo,NOA
207,Mujer,45,misiones,resto y provinciales,positivo,NEA
208,Mujer,44,buenos aires,FDT,positivo,Buenos Aires
209,Varón,74,buenos aires,FDT,positivo,Buenos Aires
210,Mujer,57,santa fe,FDT,positivo,Centro
211,Varón,36,buenos aires,FDT,positivo,Buenos Aires
212,Mujer,58,mendoza,resto y provinciales,positivo,Cuyo
213,Varón,66,cordoba,resto y provinciales,positivo,Centro
214,Mujer,42,santa fe,FDT,positivo,Centro
215,Mujer,60,buenos aires,JxC y aliados,positivo,Buenos Aires
216,Mujer,61,buenos aires,FDT,positivo,Buenos Aires
217,Mujer,70,entre rios,FDT,positivo,Centro
218,Mujer,39,ciudad autonoma de buenos aires,FDT,positivo,CABA
219,Varón,45,la pampa,FDT,positivo,Patagonia
220,Varón,50,san luis,FDT,positivo,Cuyo
221,Varón,55,buenos aires,resto y provinciales,positivo,Buenos Aires
222,Varón,54,la pampa,FDT,positivo,Patagonia
223,Mujer,51,buenos aires,JxC y aliados,positivo,Buenos Aires
224,Varón,59,san luis,resto y provinciales,positivo,Cuyo
225,Varón,58,jujuy,resto y provinciales,positivo,NOA
226,Varón,36,buenos aires,FDT,positivo,Buenos Aires
227,Varón,33,corrientes,FDT,positivo,NEA
228,Mujer,39,buenos aires,FDT,positivo,Buenos Aires
229,Varón,43,buenos aires,resto y provinciales,positivo,Buenos Aires
230,Varón,67,buenos aires,resto y provinciales,positivo,Buenos Aires
231,Mujer,57,buenos aires,FDT,positivo,Buenos Aires
232,Mujer,54,buenos aires,FDT,positivo,Buenos Aires
233,Mujer,36,buenos aires,FDT,positivo,Buenos Aires
234,Varón,45,rio negro,FDT,positivo,Patagonia
235,Mujer,35,rio negro,FDT,positivo,Patagonia
236,Mujer,45,buenos aires,JxC y aliados,positivo,Buenos Aires
237,Varón,66,ciudad autonoma de buenos aires,resto y provinciales,positivo,CABA
238,Varón,50,buenos aires,FDT,positivo,Buenos Aires
239,Mujer,64,buenos aires,FDT,positivo,Buenos Aires
240,Mujer,41,mendoza,FDT,positivo,Cuyo
241,Mujer,41,buenos aires,FDT,positivo,Buenos Aires
242,Varón,54,santa cruz,FDT,positivo,Patagonia
243,Mujer,49,santa cruz,FDT,positivo,Patagonia
244,Mujer,36,buenos aires,FDT,positivo,Buenos Aires
245,Varón,41,neuquen,FDT,positivo,Patagonia
246,Varón,52,buenos aires,JxC y aliados,positivo,Buenos Aires
247,Varón,45,ciudad autonoma de buenos aires,resto y provinciales,positivo,CABA
248,Mujer,63,buenos aires,FDT,positivo,Buenos Aires
249,Varón,71,buenos aires,FDT,positivo,Buenos Aires
250,Varón,54,tucuman,FDT,positivo,NOA
251,Mujer,56,tierra del fuego,FDT,positivo,Patagonia
252,Varón,57,misiones,FDT,negativo,NEA
253,Varón,58,mendoza,resto y provinciales,negativo,Cuyo
254,Varón,78,jujuy,FDT,negativo,NOA
255,Mujer,56,ciudad autonoma de buenos aires,JxC y aliados,negativo,CABA
256,Mujer,32,buenos aires,FDT,negativo,Buenos Aires
257,Mujer,46,ciudad autonoma de buenos aires,JxC y aliados,negativo,CABA
